References,Family,Status,ID Number,Name,Name UD,Illustration,Gloss,English equivalent,Russian equivalent,CEFR level,Definition in Ukrainian,Definition in English,Definition in Russian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,28,VP на чолі NP-Gen,,На чолі відділу завжди стояли професіонали.,,to be at the head of X,VP во главе NP-Gen,В1,"Конструкція позначає, що деякий учасник [керує]Action певною [організацією чи процесом]Theme.",The construction indicates that some participant [manages]Action of a certain [organization or process]Theme.,"Конструкция обозначает, что некоторый участник [руководит]Action определенной [организацией или процессом]Theme.","Колишній менеджер Ліверпуля Рой Ходжсон [провів]Action всього півроку на чолі легендарної [команди]Theme. (Журнал «НВ», 2016)","Бо на чолі [війська]Theme, якого і четвертина не знала польської мови, [стояв]Action польський король. (Юліан Опільський ""Сумерк"", 1922)","Відомо, що посланці задунайців таємно [прибували]Action в Україну і [повертались]Action назад на чолі [численних великих загонів втікачів]Theme. (Інтернет-газета «Кримська світлиця», 2008) ","Не випадково під час опитування було запропоновано ще одне запитання, а саме: «Кого з історичних діячів ви [хотіли б бачити]Action на чолі [української держави]Theme?» (Газета «День», 2003) ","На чолі [компанії]Theme [стане]Action Кріс Тейлор, експерт з національної безпеки, який раніше керував іншими компаніями, що співпрацювали з американським урядом. (Онлайн-ЗМІ «Токар», 2022) ","VP, NP-Gen",Head and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"на, чолі ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,,29,Cl в/у залежності від NP-Gen ,,Вони люблять змінювати зачіски в залежності від ситуації. ,,depending on X,Cl в зависимости от NP-Gen,B1,"Конструкція свідчить про наявність [важливого параметра]Condition, який відіграє основну роль при [оцінці причинної залежності явищ]Situation.","The construction testifies to the presence of [an important parameter]Condition, which plays the main role in [estimating the causal dependence of phenomena]Situation.","Конструкция указывает на наличие [важного параметра]Condition, который играет основную роль при [оценке причинной зависимости явлений]Situation.","[На сході і півночі країни очікується дощ і мокрий сніг]Situation в залежності від [температури повітря]Condition. (Журнал «НВ», 2020) ","При цьому [суперники й дати поєдинків можуть змінитися]Situation в залежності від [планів учасників]Condition. (Онлайн-ЗМІ «UNIAN.NET», 2019) ","В залежності від [структури контексту країни]Condition [домінує та чи інша модель жіночого руху]Situation. (Людмила Смоляр ""Минуле заради майбутнього"", 1998)","За даними підприємства, [завод працює]Situation в залежності від [постачання комплектуючих і замовлень]Condition. (Онлайн-ЗМІ «UNIAN.NET», 2012)","В залежності від [об'єму двигуна]Condition [витрати палива складають від 10 до 30 літрів на 100 км]Situation. (Онлайн-ЗМІ «LB.ua», 2021) ","Cl, NP-Gen ",Clause and Modifier Construction,Modifier ,Multiword Preposition,Preposition,,,,,,,,,,Declarative,,"в/у, залежності, від ",,,,,,,,,,,,,,,Cause,,,Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30,"(Cl,) pазом з тим Cl",,"Ця будівля дуже незвичайна, з колонами, і водночас проста і гармонійна за формою.",,along with this,"(Cl,) (но/и) вместе с тем Cl",В2,"Конструкція вводить [інформацію] ContentOfSpeech, яка доповнює сказане раніше. Часто ця інформація суперечить тому, що було сказано раніше.",The construction introduces [information] ContentOfSpeech that complements what has been said before. Often this information contradicts what was said earlier.,"Конструкция вводит [информацию]ContentOfSpeech, которая дополняет сказанное ранее. Часто эта информация противоречит сказанному ранее","Медик нагадав, що за рахунок течії морська вода постійно оновлюється. Разом з тим [він назвав ризикованим відпочинок на пляжі, де не дотримується необхідна дистанція]ContentOfSpeech. (Онлайн-ЗМІ «UNIAN.NET», 2020) ","У Греноблі арештовані кілька людей, конфісковано вогнепальну зброю. Разом з тим, [газета зазначає, що поки не має офіційних підтверджень інформації, що надходить]ContentOfSpeech. (Журнал «НВ», 2015)","На сьогодні фактичний ремонт зроблено лише по дорожньому полотну та встановлено бордюри, до тротуарів справа не дійшла. Разом з тим [фактично через рік після укладання асфальту з'явились ями]ContentOfSpeech. (Онлайн-ЗМІ «Наші гроші», 2017) ","Є перелік підприємств, де кількість робочих місць після приватизації навіть збільшилась. Разом з тим, [мали місце і порушення]ContentOfSpeech. (Стенограми засідань Верховної Ради України, 1995) ","Декілька місяців підряд відбувалася непроста, дуже гостра і складна дискусія. Разом з тим, [уряд так і не сформулював зрозумілої для людей пенсійної формули]ContentOfSpeech. (Онлайн-ЗМІ «UNIAN.NET», 2013)",Cl,Connection Construction,Coordinator,Multiword Conjunction,"Adverb, Preposition, Pronoun",,,,,,,,,,Declarative,,"pазом, з, тим",,,,,,,,,,,,,,,,,Contrast,,Failed expectation,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,поки що (не) Cl,,У компанії поки що не дали коментарів щодо інциденту. ,,"yet, stil",пока что Cl,B2,"Конструкція означає, що [ситуація]Situation, актуальна в даний момент, не зміниться в найближчому майбутньому, хоча надалі може змінитися.","The construction means that the [situation]Situation current at the moment will not change in the near future, although it may change in the future.","Конструкция обозначает, что [ситуация]Situation, актуальная в данный момент, не поменяется в ближайшем будущем, хотя может поменяться в дальнейшем.","У компанії поки що [не дали коментарів щодо інциденту]Situation. (Журнал «НВ», 2017)    ","Він повільно йшов слідом, мабуть, [останні сумніви поки що не залишали його]Situation. (Станіслав Стеценко ""Чорна акула в червоній воді"", 1993)    ","А поки що [сумненько, невесело на душі]Situation. (Володимир Качкан ""Опішня"", 1991)     ","Але далі цього плану поки що [справа не заходить]Situation. (Журнал «НВ», 2018)  ","Причини вибуху та його наслідки офіційно поки що [не прокоментували]Situation. (Онлайн-ЗМІ «Gazeta.ua», 2022)     ",Cl,Clause and Modifier Construction,Modifier ,Multiword Conjunction,Conjunction,,,,,,,,,,Declarative,,"поки, що ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,Temporal boundary,,,,
,,,32,"з точки зору NP-Gen/ з PronPoss-Gen точки зору, Cl ",,З моєї точки зору питання полягає в наступному. ,,from X point of view,"с точки зрения NP-Gen/с PronPoss-Gen точки зрения, Cl ",A2,"Конструкція висловлює думку [говорящего]Speaker або іншого [учасника ситуації]Participant з деякого питання і зазвичай вводить [оцінний вислів]Evaluation. Конструкція також може вказувати на [яке поняття] Theme, з якою пов'язане наступне твердження.",The construction expresses the opinion of the [speaker]Speaker or another participant of the situation]Participant on some issue and usually introduces an [evaluative statement]Evaluation. The construction can also indicate [the concept] Theme which the following statement is related to.,"Конструкция выражает мнение [говорящего]Speaker или иного [участника ситуации]Participant по некоторому вопросу и обычно вводит [оценочное высказывание]Evaluation. Конструкция также может указывать на [некое понятие]Theme, с которой связано последующее утверждение.","З [моєї]Speaker точки зору, [все це — прихована реклама, незалежно від форми]Evaluation. (Газета «День», 2017)","Тому, з [економічної]Theme точки зору, [аукціон слід оцінити як вдалий для держави]Evaluation. (Інтернет-газета «Дзеркало тижня», 2018) ","З точки зору [моралі і фінансів]Theme, [я не можу дати цьому оцінку]Evaluation. (Журнал «НВ», 2019)","А вголос сказав: — Може, з точки зору [медицини]Theme [все так, як ви кажете]Evaluation. (Олесь Бердник, ""Зоряний корсар"", 1971)","Коли я вперше побачив танцювальні колективи, всі вони здалися мені прекрасними і з [хореографічної]Theme точки зору [подібними одна до одної]Evaluation. (Тадеуш Бреза ""Листи з Гавани"", 1963)","NP-Gen, PronPoss-Gen, Cl",Clause or XP with parentheticals,Parenthetical,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Declarative,,"з, точки, зору",,,,,,,,,,,,,,,,,,,,,,,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,Expressing opinion,,,,,,,,
,,,33,Cl в порівнянні з NP-Ins,,Ціни в цьому сезоні виросли приблизно на 30 % в порівнянні з минулим роком.,,in comparison with,Cl по сравнению с NP-Ins,B1,"Конструкція означає порівняння і протиставлення будь-яких предметів чи явищ, виявлення у яких подібності чи відмінності, переваг чи недоліків тощо. Конструкція вказує на те, що [деякі характеристики]Property [якогось об'єкта або учасника]Comparee виражені більшою або меншою мірою, ніж [інші]Standard.","The construction denotes the comparison and opposition of any objects or phenomena, revealing in them the similarities or differences, advantages or shortcomings and so on. The construction indicates that [certain characteristics]Property [of some object or participant]Comparee are expressed to a greater or lesser extent than [other]Standard.","Конструкция обозначает сравнение и противопоставление каких-либо предметов или явлений, выявление в них сходства или различия, достоинств или недостатков и т.д. Конструкция указывает на то, что [некоторые характеристики]Property [какого-либо объекта или участника]Comparee выражены в большей или меньшей степени, чем [другие]Standard.","І в порівнянні з [цим сяйвом]Standart [берег]Comparee [здавався темносинім, вкритим імлистим покривалом]Property. (Ніколай Панов ""Боцман з «Тумана», 1957)","[Норвегія]Comparee в порівнянні з [іншими країнами Європи]Standart до теперішнього часу [успішно справляється з пандемією коронавирусу]Property. (Онлайн-ЗМІ «UNIAN.NET», 2021)","Також [зменшився]Property [рівень оптимізму]Comparee в порівнянні з [попередніми двома роками]Standart. (Онлайн-ЗМІ «UNIAN.NET», 2020)","Та що [варті]Property [сліди]Comparee якогось там слона чи навіть мамонта, коли хочете знати, в порівнянні з [його відкриттям]Standart! (Андрій Гуляшки, ""Коштовний камінь"", 1958)","В порівнянні з [іншими слов'янськими мовами]Standart [розвиток сучасної української мови]Comparee [має багато паралелей з історією сербо-хорватської літературної мови]Property. (Юрій Шевельов ""Внесок Галичини у формування української літературної мови"", 1944)","Cl, NP-Ins",Clause and Modifier Construction,Modifier ,Prepositional Phrase,Preposition,,,,,,,,,,Not applicable,,"в, порівнянні, з ",,,,,,,,,,,,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34,VP/NP по відношенню до NP-Gen ,,Бути справедливим по відношенню до всіх і відповідальним. ,,in relation to,VP/NP в отношении NP-Gen ,B2,"Конструкція означає, що деяка [дія]Action спрямована на [учасника]Addressee або [групу учасників]Addressee. Конструкція може також вказувати на [учасника або об'єкт]Parameter, про який висловлюється [певна думка]Evaluation.",The construction means that some [action]Action is directed to [participant]Addressee or [participant group]Addressee. The construct can also point to the [participant or object]Parameter about which the [certain opinion]Evaluation is expressed.,"Конструкция обозначает, что некоторое [действие]Action направлено на [участника]Addressee или [группу участников]Addressee. Конструкция может также указывать на [участника или объект]Parameter, о котором высказывается [определенное суждение]Evaluation.","«[Моя надмірно емоційна реакція і нестримана поведінка]Action по відношенню до [журналістів]Addressee не мають виправдання», — заявив він. (Журнал «НВ», 2021 )             ","Ці компанії [повели себе невідповідально]Action по відношенню до [своїх клієнтів]Addressee, виставили їм рахунки, які не мали права виставляти. (Онлайн-ЗМІ ""Главком"", 2022)               ","Ми ж зі своєї сторони поводимося вкрай толерантно й просимо своїх сусідів [поводитися]Action по відношенню до [нашої країни]Addressee так само толерантно. (Онлайн-ЗМІ «UNIAN.NET», 2012) ","[Це не дуже правильно]Action по відношенню до [читачів]Addressee. (Онлайн-ЗМІ «UNIAN.NET», 2010)     ","По відношенню до [тих керівників]Addressee, що не виконають завдань, я [буду ініціювати самі різноманітні заходи кадрового і правового порядку]Action. (Онлайн-ЗМІ «ПРОЧЕРК.інфо», 2011)     ","VP/NP, NP-Gen ",Head and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"по, відношенню, до ",,,,,,,,Core Addressee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domain,,,,,,,,,,
,,,35,"незважаючи на NP-Acc, Cl",,"Незважаючи на втому, ніяк не можу заснути. ",,"despite X, in spite of X","Несмотря/Невзирая на NP-Acc, Cl",B1,"Конструкція використовується при позначенні [предметів, явищ, понять]Situation, всупереч яким відбуваються [дія]Action.","The construction is used when marking [objects, phenomena, concepts]Situation against which [action]Action takes place.","Конструкция используется при обозначении [предметов, явлений, понятий]Situation, по которой происходит [действие]Action.","Hезважаючи на [такі застереження]Situation, [будинок таки був зведений]Event. (Онлайн-ЗМІ «UNIAN.NET», 2012)  ","Однак незважаючи на [не найкращі умови для гри після опадів]Situation, [команди заграли результативніше]Action. (Журнал «НВ», 2020)          ","Та, незважаючи на [обіцянки й погрози]Situation, [справа просувається вперед дуже повільно]Event. (Ярослав Галан ""Годі!"", 1950)   ","Чорнобильська зона, незважаючи на [всі небезпеки, які вона таїть у собі]Situation, [як магнітом притягує туристів]Action. (Інтернет-газета «Україна молода», 2017) ","Незважаючи на [втішні дані і невелику кількість носіїв вірусу]Situation, влада поки не скасовує масковий режим. (Інтернет-газета «Високий замок», 2021)","NP-Acc, Cl",Clause and Modifier Construction,Modifier ,"Negation, Multiword Preposition",Preposition,,,,,,,,,,Declarative,,"незважаючи, на ",,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,36,з іншого боку XP/Cl,,"З іншого боку, що ж їй було робити... перед нею не було ніякого іншого виходу. ",,on the other hand,"С одной стороны, XP/Cl. С другой (стороны), XP/Cl",B1,"Конструкція вводить [ствердження] ContentOfSpeech, яке дозволяє подивитися на тему з різних, часто протилежних, точок зору. Мовець, озвучує альтернативну позицію. Іноді у першій частині конструкції можуть бути слова ""З одного боку"".","The construction introduces [assertions] ContentOfSpeech, which allow to look at the topic from different, often opposing, points of view. The speaker voices  alternatives. Sometimes The construct introduces the [statement] ContentOfSpeech, which allows you to look at the topic from different, often opposite, points of view. The speaker voices an alternative position. Sometimes the constructions can have the words ""on the one hand"" in the first part.     ","Конструкция вводит [утверждение] ContentOfSpeech, позволяющее посмотреть на тему с разных, часто противоположных, точек зрения. Говорящий  озвучивает альтернативную позицию. Иногда в первой части конструкции могут быть слова ""с одной стороны"". ","З одного боку [ми будуємо церви – і це добре]ContentOfSpeech, але з іншого боку [ми не будуємо шкіл, дошкільних закладів – і це дуже погано]ContentOfSpeech. (Інтернет-газета «Фіртка», 2012)        ","Звісно, нам іще багато вчитися, працювати, зростати, і зараз є висока готовність західних викладачів безкоштовно вчити й супервізувати нас. З іншого боку, [ми стаємо психотерапевтами не на семінарах, а у роботі з нашими пацієнтами]ContentOfSpeech, коли здобуваємо практичний досвід допомоги. (Онлайн-ЗМІ «The Ukrainians», 2022)       ","А з іншого боку, [якщо навіть гіпотетично припустити, що одне колесо можна замінити на запасне]ContentOfSpeech, то що робити з другим? (Брати Капранови ""Забудь-річка"", 2016)      ","З огляду на критичну ситуацію в економіці, війну на сході країни та анексію Криму, вже другий рік поспіль українці шукають нові локації для дослідження та відпочинку. З іншого боку, [це дає хороший шанс детальніше вивчити туристичний потенціал України] ContentOfSpeech. (Газета «День», 2015)     ","В глибині душі я розумію його зневіру і образу на лідерів, які бездарно втратили те, що ми здобули. Але, з іншого боку, [мене обурює така безвідповідальність]ContentOfSpeech. (Інтернет-газета «Високий замок», 2010)    ",XP/Cl,Clause or XP with parentheticals,Parenthetical,"Prepositional Phrase, Nominal Pattern","Preposition, Noun",,,,,,,,,,Declarative,,"з, іншого, боку ",,,,,,,,,,,,,,,,,Contrast,,,,,,Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,37,NP-Nom включає в себе NP-Acc ,,Дослідження включає в себе три фази.,,X includes Y,NP-Nom включать в себя NP-Acc ,B1,"Конструкція позначає або перераховує [кілька елементів]Element, що входять до деякої [множини]Set. Зазвичай елементами є неживі об'єкти або абстрактні поняття.","The construction denotes or enumerates [multiple elements]Element included in some [set]Set. Usually, elements are inanimate objects or abstract concepts.","Конструкция обозначает или перечисляет [несколько элементов]Element, входящих в некоторое [множество]Set. Обычно элементами являются неодушевленные объекты или абстрактные понятия.","[Програма]Set включає в себе [розробку нових видів ліків і засобів боротьби з малярією]Element. (Онлайн-ЗМІ «Громадське телебачення», 2016)        ","[Алгоритм реєстрації]Set транспортного засобу включає в себе також [закріплення за транспортним засобом номерних знаків]Element. (Онлайн-ЗМІ «Вінниця.інфо», 2022)       ","[Документ]Set, зокрема, включає в себе [виділення $ 300 млн]Element на потреби української армії. (Журнал «НВ», 2019)        ","[Акватлон]Set включає в себе лише [плавання та біг]Element. (Онлайн-ЗМІ «ПРОЧЕРК.інфо», 2014)       ","[Внутрішній трудовий розпорядок]Set, що встановлюється кожним роботодавцем, включає в себе [режим робочого часу]Element. (Ірина Саленко, ""ПРАВОВЕ РЕГУЛЮВАННЯ РАЦІОНАЛЬНОГО ВИКОРИСТАННЯ РОБОЧОГО ЧАСУ"", 2019)       ","NP-Nom, NP-Acc",Predicate Argument Construction,Verb Predicate,Argument Structure,"Verb, Preposition, Pronoun",,,,,,,,,,Not applicable,,"включає, в, себе ",,,,,,,,,,,,,,,,,,,,,,,,,,,Inclusive,,,,,,,,,,,,,,,,,,,,Property assignment,,,,Subset,,,,,,
,,,38,час від часу Cl,,Час від часу він подає на академічні виставки свої роботи.,,from time to time,время от времени Cl,B1,"Конструкція позначає, що [деяка ситуация]Situation має місце багаторазово, але рідше, ніж очікується, не часто, іноді.","This construction indicates that a given [situation]Situation will occur multiple times, but not as often as expected, only sometimes.","Конструкция обозначает, что [некоторая ситуация]Situation имеет место многократно, но реже, чем ожидается, не часто, иногда.","Думки Софії час від часу [поверталися до цього питання]Situation, але вона залишала його на потім. (Сергій Шарик ""Двічі графиня та двічі генерал"", 2014)        ","Час від часу письменник [висвітлює]Action події в Україні на своїй сторінці в соцмережах. (Онлайн-ЗМІ «ТСН», 2022)        ","Біля банкетного залу є великий танцювальний майданчик, де час від часу [грає жива музика]Situation. (Онлайн-ЗМІ «Новини Хмельницького «Є»», 2012)        ","Час від часу вони [поглядали на хату]Situation, з якої долітали крики і музика. (Дмитро Білий ""Басаврюк XX"", 1999)        ","Настя намагалася уникати розмов про розбіжності у поглядах, але час від часу вони знову [поверталися]Action до неприємних обом бесід. (Світлана Талан ""Оголений нерв"", 2015)      ",Cl,Clause and Modifier Construction,Modifier,"Reduplication, Nominal Pattern","Preposition, Noun",,,,,,,,,,Declarative,,"час, від, часу ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raritive,,,,,,,,,,,,,,,,,,,,,
,,,39,VP відповідно до NP-Gen,,Переходимо до розгляду питань відповідно до порядку денного. ,,X according to Y,VP в соответствии с NP-Ins,С1,Конструкція застосовується для позначення узгодженості між [об'єктом]Topic та [затвердженням]ContentofSpeech. ,This construction is used to indicate congruence between an [object] Topic and an [assertion] ContentofSpeech. ,Конструкция применяется для обозначения согласованности между [объектом]Topic и [утверждением]ContentofSpeech. ,"[Я діяв]ContentofSpeech відповідно до [батькових бажань]Topic і навіть не думав, щоб хоч якось обмовитись про те, що хочу стати актором. (Артем Чех ""Пластик"", 2008)  ","Відповідно до [вимог]Topic, які встановило Міністерство охорони здоров'я, [у таких містах заборонена робота магазинів і торгових центрів]ContentofSpeech. (Онлайн-ЗМІ «Zaxid.net», 2020)     ","[На першому етапі оберуть кількість дільниць]ContentofSpeech відповідно до [відсотка виборців у цій області]Topic. (Інтернет-газета «Високий замок», 2019)  ","Він підтвердив, що відповідно до [контрактів]Topic [група працівників має отримати 1 % від виграних грошей]ContentofSpeech. (Онлайн-ЗМІ «UNIAN.NET», 2020)   ","Також, відповідно до [цієї концепції]Topic, [він не намагався об'єднати та систематизувати різні ідеї власного вчення]ContentofSpeech. (Микола Рик ""СИМВОЛІЗМ У ТВОРЧОСТІ Г. СКОВОРОДИ: РЕЛІГІЄЗНАВЧИЙ АНАЛІЗ"", 2019)    ","VP, NP-Ins",Head and Modifier Construction,Modifier,Prepositional Phrase,"Preposition, Adverb",,,,,,,,,,Not applicable,,"відповідно, до ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manner,,,,,,,,,,,,,,,,,,,Source of information,,,,,,,,,
,,,40,"незважаючи на те, що Cl, Cl",,"І незважаючи на те, що ситуація є складною, треба зберігати спокій. ",,despite the fact that,"несмотря/невзирая на то, что Cl, Cl",B1,"Конструкція використовується при позначенні [предметів, явищ, понять]Situation, всупереч яким відбуваються [дія]Action.","The construction is used when marking [objects, phenomena, concepts]Situation against which [action]Action takes place.","Конструкция используется при обозначении [предметов, явлений, понятий]Situation, по которой происходит [действие]Action.","Так, незважаючи на те, що [зверху невпинно смалило сонце]Situation, ноги у всіх задубіли. (Сергій Плачинда ""Космоград"", 1959)  ","Я прийшов на цю акцію, незважаючи на те, що [у нас можуть бути різні погляди]Situation. (Журнал «НВ», 2020).          ","Але я одягнув пальто й помчав щодуху додому, незважаючи на те, що [на мені був мокрий одяг, а надворі був мороз і вітер]Situation. (Леонід Смілянський ""Сашко"", 1950)  ","Багатьох журналістів затримували, незважаючи на те, що [у них були прескарти, редакційні завдання і жилети з написом ""Преса""]situation. (Онлайн-ЗМІ «LB.ua», 2021)     ","Незважаючи на те, що [я зараз відчуваю себе щасливим]Situation і знаю про безліч переваг, які я отримав, я в той же час наляканий. (Журнал «НВ», 2020).        ","Cl, Cl",Connection Construction,Subordinator,"Multiword Conjunction, Negation","Converb, Preposition, Pronoun",,,,,,,,,,Declarative,,"Незважаючи, на, те, що ",,,,,,,,,,,,,,,,,,,Failed expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,41,за рахунок NP-Gen,,Бібліотека зростала тільки за рахунок пожертв громадян та обміну з іншими науковими установами. ,,"thanks to, due to",за счет NP-Gen,А2,"Конструкція вказує на те, що [деяка ситуація]Situation має місце за наявності [певних супутніх обставин]Condition.     ",This construction indicates that [certain circumstances]Condition make it possible for a [certain]Situation to occurs. ,"Конструкция указывает на то, что [некоторая ситуация]Situation имеет место при наличии [определенных сопутствующих обстоятельств]Condition.","За рахунок [цього фонду]Condition [було придбано одяг та взуття]Situation для 34 дітей. (Іван Клімаш та ін. ""Історія міст і сіл Української РСР. Волинська область"", 1970)     ","Атомний годинник не є сьогоднішнім відкриттям. Такий механізм [вимірює час]Situation, за рахунок [впливу лазера на атоми металу]Condition, які миттєво переходять з одного енергетичного стану в інший. (Журнал «НВ», 2018)      ","Такого [результату досягнуто]Situation, перш за все, за рахунок [зростання обсягів транзиту газу]Condition. (Онлайн-ЗМІ «Економічна правда», 2017).   ","[Купівля іноземної валюти]Situation за рахунок [власних коштів банків]Condition не допускається. (Онлайн-ЗМІ «Zaxid.net», 2009)        ","Для того, щоб працювати на повну силу і тверезо оцінювати можливості, організму потрібне якісне і постійне підживлення. [Забезпечте її собі]Situation за рахунок [позитивних емоцій і здорового способу життя]Condition. (Журнал «НВ», 2020).        ",NP-Gen,Clause and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Declarative,,"за, рахунок",,,,,,,,,,,,,,,,,,Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42,та ще й NP Cl,,"І дитина, і дорослий завжди зрадіють ласощам, та ще й в гарній упаковці!",,and even X,да еще и NP Cl,В2,"Конструкція вводить [інформацію] ContentOfSpeech, яка доповнює сказане раніше. Слот ХР зазвичай заповнюється іменною чи дієслівною групою або прикметником.","Thе construction introduces [an additional piece of information]ContentOfSpeech that elaborates what has been previously said. The most common filler for the XP slot is a noun phrase, a verb phrase or an adjective.","Конструкция вводит [информацию]ContentOfSpeech, которая дополняет сказанное ранее. Слот ХР обычно заполняется именной или глагольной группой или прилагательным.","Сама ті вареники й виробила, та ще й [рідних пригостила]ContentofSpeech. (Газета «Вінниччина», 2015)  ","Подивіться, яку класну сукню представили дизайнери. Та ще й [колір, який в тренді]ContentofSpeech. (Онлайн-ЗМІ «UNIAN.NET», 2020) ","То як зорієнтуватися, де купити житло, та ще й [зробити це вигідно]ContentofSpeech? (Онлайн-ЗМІ «Економічна правда», 2018)        ","Я був вельми подивований: гість, та ще й [така поважна людина]ContentofSpeech, і такий простий, доступний. (Любомир Полюга ""Шляхами спогадів"", 1990).       ","Більшість новоприбулих до Канади були людьми неосвіченими. Якщо й говорили англійською, то ледь-ледь, та ще й [зі страшним акцентом]ContentofSpeech. (Інтернет-газета «Україна молода», 2011)      ","NP, Cl",Clause and Modifier Construction,Modifier ,Multiword Conjunction,"Conjunction, Adverb",,,,,,,,,,Declarative,,"та, ще, й",,,,,,,,,,,,,,,,,,,,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,43,XP/Cl так само як XP/Cl ,,"Подати заявки батьки зможуть зразу у декілька дитсадків, так само як зі школою.",,X the same s Y,"XP/Cl так же, как (и) XP/Cl",B1,"Конструкція виражає порівняння і підкреслює ідентичність [стану одного учасника або його манери виконувати дію]Comparee подібно до [стану іншого учасника або його манері виконувати дію]Standard.Конструкція може позначати ідентичність стану або манери виконання дії одним і тим же учасником у різні моменти часу, як раніше.","The construction expresses a comparison and emphasizes the identity of [the state of one participant or his manner of performing an action]Comparee similar to [the state of another participant or his manner of performing an action]Standard. The construction can denote the identity of the state or manner of performing an action by the same participant at different moments in time, as before","Конструкция выражает сравнение и подчеркивает идентичность [состояния одного участника или его манеры выполнять действие]Comparee подобно [состоянию другого участника или его манере выполнять действие]Standard.Конструкция может  обозначать идентичность состояния или манеры выполнения действия одним и тем же участником в разные моменты времени, как раньше.","Коли долоня відмилась від бруду, там так само як і [раніше]Standart [залишився напис]Comparee, здається, він навіть світився. (Василь Тибель ""Примари Пустомитського болота"", 2016) ","[Куплені раніше старі квитки на проїзд у наземному транспорті чинні до кінця липня]Comparee, так само як і [раніше куплені проїзні]Standart. (Газета «Свобода», 2018)","Так само як і [раніше]Standart, [абсолютна більшість відмов стаються на наземному кордоні]Copmaree. (Онлайн-ЗМІ «Європейська правда», 2019)    ","[Акторка]Comparee тримала у секреті цю новину, так само як і [її близькі друзі та рідні]Standart. (Онлайн-ЗМІ «Табло ID», 2010) ","Жодних імен правоохоронці [не уточнили]Comparee, так само як і [не зазначили]Standart чи затримано усіх учасників схеми. (Онлайн-ЗМІ «Zaxid.net», 2020) ","XP/Cl, XP/Cl ",Connection Construction,Subordinator,Multiword Conjunction,"Pronoun, Particle, Conjunction",,,,,,,,,,Not applicable,,"так, само, як ",,,,,,,,,,,,,,,,,Equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
